filename,food,Intuitive_7,Culinary_9,WHO_10,score,cues,caption
octopus.png,Octopus,Animal protein,Animal Protein,Fish,3,drizzled with; garnished with; with X and Y,"Cooked octopus pieces are served on a white plate, drizzled with oil and garnished with herbs."
oysters.png,Oysters,Animal protein,Animal Protein,Fish,3,served with; with X and Y,Seven raw oysters on the half shell are served with lemon wedges and parsley on a white plate.
trout.png,Trout,Animal protein,Animal Protein,Fish,3,served with; with X and Y,A pan-seared fish fillet is served with a lemon wedge and fresh thyme on a white plate.
pear-prepared.png,Pear (prepared),Fruit,Produce - Sweet,Fruits,2,served with,Two halves of a baked pear are served with a sweet glaze on a white plate.
pumpkin-pie.png,Pumpkin pie,Dessert,Desserts & Sweets,Confectionery and sweets,2,topped with,A slice of pumpkin pie topped with whipped cream is presented on a white plate.
scone.png,Scone,Grain,Desserts & Sweets,Bakery wares and cereals,2,filled with; with X and Y,A single scone filled with jam and cream sits on a white plate against a grey background.
asparagus-prepared.png,Asparagus (prepared),Vegetable,Produce - Savory,Vegetables,1,with X and Y,Cooked asparagus spears are seasoned with oil and pepper on a white plate.
barramundi.png,Barramundi,Animal protein,Animal Protein,Fish,1,with X and Y,A pan-seared fish fillet with herbs and skin-on sits on a white plate.
beef-steak.png,Beef steak,Animal protein,Animal Protein,Meat,1,with X and Y,A grilled beef steak is served on a white plate with rosemary and garlic.
cereal-flakes.png,Cereal flakes,Grain,Carbohydrates & Staples,Bakery wares and cereals,1,filled with,A white bowl filled with cereal flakes sits on a matching saucer against a grey background.
cupcake.png,Cupcake,Dessert,Desserts & Sweets,Confectionery and sweets,1,with X and Y,A single cupcake with white frosting and a raspberry garnish sits on a white plate.
fennel.png,Fennel,Vegetable,Produce - Savory,Vegetables,1,garnished with,Cooked fennel wedges are arranged on a white plate and garnished with fronds.
gooseberry.png,Gooseberry,Fruit,Produce - Sweet,Fruits,1,filled with,A white plate is filled with a pile of fresh green gooseberries.
granola.png,Granola,Grain,Desserts & Sweets,Bakery wares and cereals,1,with X and Y,"A white plate holds a serving of granola with nuts, seeds, and raisins."
granola-bar.png,Granola bar,Grain,Desserts & Sweets,Bakery wares and cereals,1,with X and Y,A single granola bar with nuts and dried fruit is centered on a white plate.
muesli.png,Muesli,Grain,Carbohydrates & Staples,Bakery wares and cereals,1,with X and Y,"A white plate holds a serving of muesli with nuts, seeds, dried fruit, and milk."
pancake.png,Pancake,Dessert,Desserts & Sweets,Confectionery and sweets,1,with X and Y,A stack of pancakes with a pat of butter and syrup is on a white plate.
pastry.png,Pastry,Dessert,Desserts & Sweets,Confectionery and sweets,1,filled with,A flaky pastry filled with mixed berries is served on a white plate.
peach-prepared.png,Peach (prepared),Fruit,Produce - Sweet,Fruits,1,with X and Y,A single roasted peach half with a glaze and spices sits on a white plate.
polenta-cake.png,Polenta cake,Dessert,Desserts & Sweets,Confectionery and sweets,1,with X and Y,A slice of cake with powdered sugar and a rosemary sprig sits on a white plate.
potato-prepared.png,Potato (prepared),Vegetable,Carbohydrates & Staples,Vegetables,1,with X and Y,A plate of roasted new potatoes with rosemary and whole garlic cloves.
pudding.png,Pudding,Dessert,Desserts & Sweets,Confectionery and sweets,1,garnished with,A white bowl of vanilla pudding is garnished with a mint sprig on a matching plate.
roast-lamb.png,Roast lamb,Animal protein,Animal Protein,Meat,1,with X and Y,Sliced roast lamb with roasted potatoes and carrots is served on a white plate.
scallops.png,Scallops,Animal protein,Animal Protein,Fish,1,with X and Y,Four seared scallops are served on a white plate with a light sauce and garnish.
snapper.png,Snapper,Animal protein,Animal Protein,Fish,1,garnished with,A pan-seared fish fillet garnished with herbs sits on a white plate.
tart.png,Tart,Dessert,Desserts & Sweets,Confectionery and sweets,1,with X and Y,A single fruit tart with mixed berries and mint is served on a white plate.
turkey.png,Turkey,Animal protein,Animal Protein,Meat,1,with X and Y,Sliced roasted poultry with light and dark meat is served in a light sauce with a thyme garnish.
venison.png,Venison,Animal protein,Animal Protein,Meat,1,with X and Y,Sliced medium-rare meat with herbs and a light sauce on a white plate.
