row_number,food,severity,flag_type,columns_to_review,current_WHO10,current_Intuitive7,current_Culinary9,current_NOVA4,current_natural_vs_transformed,transformation_score,suggested_direction,rationale,caption,aware_observed_food,blind_observed_food,action,confirmed_value,generation_notes
38,Breadstick,Review,Culinary category,Category_Culinary_9,Bakery wares and cereals,Grain,Snacks & Savory Junk,4,Transformed,65,Carbohydrates & Staples?,Breadsticks are bread/grain products; “Snacks & Savory Junk” may overstate snack/junk status.,"Several long, thin breadsticks are arranged neatly on a white plate.",Breadsticks,breadsticks,,,
39,Brioche,Likely issue,Culinary / NOVA-score,Category_Culinary_9; Transformation_score,Bakery wares and cereals,Grain,Desserts & Sweets,4,Transformed,88,Carbohydrates & Staples; lower score?,"Image is a plain brioche bun; not clearly dessert/sweet treat, though enriched bread is transformed.",A single golden-brown brioche bun sits on a white plate.,Brioche bun,Brioche roll,,,
75,Chicken wings,Likely issue,Culinary category,Category_Culinary_9,Meat,Animal protein,Composite Meals,3,Transformed,75,Animal Protein?,Glazed wings are still dominated by a single animal source rather than a composite meal.,A serving of glazed chicken wings is presented on a round white plate against a grey background.,Glazed chicken wings,glazed chicken wings,,,
86,Corn,Likely issue,WHO category,Category_WHO_10,Bakery wares and cereals,Vegetable,Carbohydrates & Staples,1,Natural,30,Vegetables?,Cooked corn kernels are treated as Vegetable in Intuitive7; WHO “Bakery wares and cereals” may be inconsistent with the item/image.,A white plate holds a mound of cooked yellow corn kernels on a grey background.,Cooked corn kernels,corn kernels,,,
92,Croissant,Likely issue,WHO / Culinary category,Category_WHO_10; Category_Culinary_9,Confectionery and sweets,Grain,Desserts & Sweets,4,Transformed,85,Bakery wares and cereals; Carbohydrates & Staples?,"Plain croissant is a bakery/grain item, not necessarily confectionery/dessert unless sweet-filled.",A single golden-brown croissant is centered on a plain white plate.,croissant,croissant,,,
126,Fried chicken,Likely issue,WHO / Culinary category,Category_WHO_10; Category_Culinary_9,Prepared foods,Animal protein,Composite Meals,3,Transformed,75,Meat; Animal Protein?,Image is fried chicken pieces; still dominated by a single animal source rather than a composite prepared meal.,Several pieces of golden-brown fried chicken are arranged on a white plate.,Fried chicken pieces,Assorted fried chicken pieces,,,
130,Fruit leather,High priority,Image/label mismatch + intuitive category,Category_Intuitive_7; image QC,Confectionery and sweets,Fruit,Desserts & Sweets,3,Transformed,90,Dessert? / regenerate or review image,"Blind and aware descriptions identify meat jerky, not fruit leather; if retained as fruit leather, Intuitive7 may be Dessert rather than Fruit.","Several flat, rectangular strips of a brown, processed food are stacked on a white plate.",Meat jerky strips,meat jerky strips,,,
136,Granola,Review,Culinary category,Category_Culinary_9,Bakery wares and cereals,Grain,Desserts & Sweets,4,Transformed,90,Carbohydrates & Staples?,Granola is a cereal/grain breakfast food; “Desserts & Sweets” may be too dessert-like unless the study wants sweet cereals grouped there.,"A white plate holds a serving of granola with nuts, seeds, and raisins.",Granola with nuts and dried fruit,"granola with nuts, seeds, and raisins",,,
137,Granola bar,Review,Culinary category,Category_Culinary_9,Bakery wares and cereals,Grain,Desserts & Sweets,4,Transformed,90,Carbohydrates & Staples or Snacks & Savory Junk?,"Granola bar is a sweet snack/cereal bar, but not necessarily a dessert.",A single granola bar with nuts and dried fruit is centered on a white plate.,Granola bar,granola bar with nuts and dried fruit,,,
157,Katsu,Likely issue,WHO / Intuitive / Culinary category,Category_WHO_10; Category_Intuitive_7; Category_Culinary_9,Prepared foods,Dish,Composite Meals,3,Transformed,80,Meat; Animal protein; Animal Protein?,"Caption says a single breaded/fried cutlet, not a composite dish.","A sliced, breaded and fried cutlet is served on a white plate.",Katsu cutlet,sliced breaded cutlet,,,
