Category,Food,Category_WHO_10,Category_Simple_6,Natural_vs_transformed,Transformation_score,filename,food,base_food,prep_form,food_classification,natural_vs_transformed,sweet_vs_savory,prompt,model,seed,created,style_version,plate_reference,caption,aware_observed_food,aware_observed_prep,label_match,label_confidence,portion_size_ok,plate_rim_visible,qc_issues,qc_reasons,aware_ai_calorie_density,aware_ai_healthiness,aware_ai_sweetness,aware_ai_saltiness,aware_ai_sourness,aware_ai_bitterness,aware_ai_savoriness,aware_ai_fattiness,aware_ai_spiciness,qc_model,qc_at,human_calorie_density,human_healthiness,human_appeal,human_sweetness,human_saltiness,human_sourness,human_bitterness,human_savoriness,human_fattiness,human_spiciness,blind_observed_food,blind_guess_similarity,blind_ai_calorie_density,blind_ai_healthiness,blind_ai_sweetness,blind_ai_saltiness,blind_ai_sourness,blind_ai_bitterness,blind_ai_savoriness,blind_ai_fattiness,blind_ai_spiciness,blind_model,ll_mean_luminance,ll_rms_contrast,ll_lab_L_mean,ll_lab_L_std,ll_lab_a_mean,ll_lab_a_std,ll_lab_b_mean,ll_lab_b_std,ll_hsv_s_mean,ll_edge_energy,ll_hog_pc01,ll_hog_pc02,ll_hog_pc03,ll_hog_pc04,ll_hog_pc05,ll_hog_pc06,ll_hog_pc07,ll_hog_pc08,ll_hog_pc09,ll_hog_pc10
,Alfalfa sprouts,Vegetables,Vegetable,Natural,5,alfalfa-sprouts.png,Alfalfa sprouts,Alfalfa sprouts,,Vegetable,Natural,Savory,"A photorealistic studio photograph of Alfalfa sprouts, single subject, no packaging, no brand labels or text. Placed on a simple plain white round plate on a plain matte light grey background, even, soft studio lighting.  Render the image on a square 1024x1024 pixel canvas (1:1 aspect ratio). Do not change the aspect ratio or return a rectangular image. Center the plate within the square frame with equal margins on all sides; ensure the entire plate (and bowl, if present) is fully visible with no cropping. Maintain a FIXED three-quarter camera geometry corresponding to approximately a 40–45° downward tilt from vertical (classic food photography angle). The round plate must appear as an ellipse with a consistent major-to-minor axis ratio across all images. Do NOT vary camera tilt, camera height, focal length, or perspective to better show the food. The camera is positioned above and slightly in front of the plate, angled down toward the centre (not top-down, not side-on). Show a typical single-serving portion size of Alfalfa sprouts as commonly served to one adult (not a tiny sample and not an oversized platter). Keep the portion neatly arranged and fully visible on the plate with some rim still visible (do not cover the entire plate). The Alfalfa sprouts is shown in a typical ready-to-eat, edible form appropriate to the requested preparation. The food must be physically grounded on the plate with natural contact shadows and occlusion at the base; avoid white halos, cutout edges, pasted-on appearance, or floating pieces. Ensure consistent lighting direction and shadow softness between the food and the plate. Use realistic surface micro-texture (e.g., pores, fibers, grain separation) and avoid waxy or plastic-looking surfaces. Ensure physically plausible scale and proportions (e.g., slices must match the size of the whole item). High detail, natural colors, minimal shadows, sharp focus, stock-photo style. No logos, no brand names, no watermarks, no text, no human hands, no patterned plates, no cutting boards, no trays, no complex props, no busy backgrounds, no steam to indicate temperature, no multiple items, no multiple servings, no family-style platters, no collages, no extreme side views, no fisheye or distorted perspective, no camera angle changes, no perspective drift, no adaptive framing no bowls.",gemini-3-pro-image-preview,,1769125007,v1_uniform_grey_45deg,,A pile of fresh green alfalfa sprouts is served on a white plate.,alfalfa sprouts,raw,match,1.0,True,True,[],[],5.0,95.0,5.0,0.0,5.0,20.0,15.0,0.0,5.0,gemini-2.5-pro,1770874860,7.875,87.25,36.9375,6.090909090909091,3.0,4.181818181818182,22.727272727272727,12.0,0.8181818181818182,2.727272727272727,fresh sprouts,75.0,5.0,95.0,5.0,0.0,5.0,15.0,10.0,0.0,0.0,gemini-2.5-pro,0.73790442943573,0.1540510356426239,76.07180786132812,14.822507858276367,-2.5386996269226074,5.771722793579102,5.521838188171387,12.680489540100098,0.0857133567333221,0.0296747088432312,-14.365335,-39.65654,31.310316,10.325404,-11.078471,-5.338065,4.3998713,8.459949,15.468253,3.752345
,Almonds,Ready-to-eat savories,Protein,Natural,15,almonds.png,Almonds,Almonds,,Protein,Natural,Savory,"A photorealistic studio photograph of Almonds, single subject, no packaging, no brand labels or text. Placed on a simple plain white round plate on a plain matte light grey background, even, soft studio lighting.  Render the image on a square 1024x1024 pixel canvas (1:1 aspect ratio). Do not change the aspect ratio or return a rectangular image. Center the plate within the square frame with equal margins on all sides; ensure the entire plate (and bowl, if present) is fully visible with no cropping. Maintain a FIXED three-quarter camera geometry corresponding to approximately a 40–45° downward tilt from vertical (classic food photography angle). The round plate must appear as an ellipse with a consistent major-to-minor axis ratio across all images. Do NOT vary camera tilt, camera height, focal length, or perspective to better show the food. The camera is positioned above and slightly in front of the plate, angled down toward the centre (not top-down, not side-on). Show a typical single-serving portion size of Almonds as commonly served to one adult (not a tiny sample and not an oversized platter). Keep the portion neatly arranged and fully visible on the plate with some rim still visible (do not cover the entire plate). The Almonds is shown in a typical ready-to-eat, edible form appropriate to the requested preparation. The food must be physically grounded on the plate with natural contact shadows and occlusion at the base; avoid white halos, cutout edges, pasted-on appearance, or floating pieces. Ensure consistent lighting direction and shadow softness between the food and the plate. Use realistic surface micro-texture (e.g., pores, fibers, grain separation) and avoid waxy or plastic-looking surfaces. Ensure physically plausible scale and proportions (e.g., slices must match the size of the whole item). High detail, natural colors, minimal shadows, sharp focus, stock-photo style. No logos, no brand names, no watermarks, no text, no human hands, no patterned plates, no cutting boards, no trays, no complex props, no busy backgrounds, no steam to indicate temperature, no multiple items, no multiple servings, no family-style platters, no collages, no extreme side views, no fisheye or distorted perspective, no camera angle changes, no perspective drift, no adaptive framing no bowls.",gemini-3-pro-image-preview,,1769125022,v1_uniform_grey_45deg,,"A white plate holds a pile of whole, shelled almonds on a grey background.",Whole almonds,unknown,match,1.0,True,True,[],[],85.0,90.0,10.0,0.0,0.0,10.0,30.0,70.0,0.0,gemini-2.5-pro,1770874875,59.16,84.04,68.72,22.52,25.72,14.36,21.04,28.2,25.36,11.44,whole almonds,95.0,85.0,90.0,15.0,0.0,0.0,10.0,20.0,75.0,0.0,gemini-2.5-pro,0.7136179804801941,0.1747361570596695,73.86185455322266,16.736648559570312,2.718461036682129,7.52027702331543,5.167622089385986,11.885883331298828,0.097783550620079,0.0205600913614034,-3.2812896,-42.14618,13.172514,-2.2984788,-13.060125,2.0545342,-0.289262,27.157446,1.5097917,-8.042032
,Anchovies,Fish,Protein,Transformed,60,anchovies.png,Anchovies,Anchovies,,Protein,Transformed,Savory,"A photorealistic studio photograph of Anchovies, single subject, no packaging, no brand labels or text. Placed on a simple plain white round plate on a plain matte light grey background, even, soft studio lighting.  Render the image on a square 1024x1024 pixel canvas (1:1 aspect ratio). Do not change the aspect ratio or return a rectangular image. Center the plate within the square frame with equal margins on all sides; ensure the entire plate (and bowl, if present) is fully visible with no cropping. Maintain a FIXED three-quarter camera geometry corresponding to approximately a 40–45° downward tilt from vertical (classic food photography angle). The round plate must appear as an ellipse with a consistent major-to-minor axis ratio across all images. Do NOT vary camera tilt, camera height, focal length, or perspective to better show the food. The camera is positioned above and slightly in front of the plate, angled down toward the centre (not top-down, not side-on). Show a typical single-serving portion size of Anchovies as commonly served to one adult (not a tiny sample and not an oversized platter). Keep the portion neatly arranged and fully visible on the plate with some rim still visible (do not cover the entire plate). The Anchovies is shown in a typical ready-to-eat, edible form appropriate to the requested preparation. The food must be physically grounded on the plate with natural contact shadows and occlusion at the base; avoid white halos, cutout edges, pasted-on appearance, or floating pieces. Ensure consistent lighting direction and shadow softness between the food and the plate. Use realistic surface micro-texture (e.g., pores, fibers, grain separation) and avoid waxy or plastic-looking surfaces. Ensure physically plausible scale and proportions (e.g., slices must match the size of the whole item). High detail, natural colors, minimal shadows, sharp focus, stock-photo style. No logos, no brand names, no watermarks, no text, no human hands, no patterned plates, no cutting boards, no trays, no complex props, no busy backgrounds, no steam to indicate temperature, no multiple items, no multiple servings, no family-style platters, no collages, no extreme side views, no fisheye or distorted perspective, no camera angle changes, no perspective drift, no adaptive framing no bowls.",gemini-3-pro-image-preview,,1769125044,v1_uniform_grey_45deg,,Several anchovy fillets are arranged on a white plate in a pool of oil.,Anchovy fillets in oil,prepared,match,1.0,True,True,"[""sauce_present""]","[""Observed food is anchovy fillets, which matches the expected label 'Anchovies'.""]",65.0,60.0,0.0,95.0,10.0,5.0,90.0,85.0,0.0,gemini-2.5-pro,1770874893,49.629629629629626,52.81481481481482,31.96296296296296,11.76923076923077,73.15384615384616,8.923076923076923,12.23076923076923,51.84615384615385,36.38461538461539,12.384615384615383,Anchovy fillets in oil,90.0,65.0,60.0,0.0,95.0,10.0,15.0,90.0,80.0,0.0,gemini-2.5-pro,0.7526406049728394,0.1598139107227325,77.38471221923828,15.416062355041504,0.7182442545890808,3.505037546157837,2.403261423110962,6.236279010772705,0.0454748533666133,0.0182965453714132,-29.814608,-27.418343,15.446353,19.452215,-11.649236,-1.181519,-12.913561,26.789013,-15.802398,11.534495
,Apple (prepared),Fruits,Fruit,Natural,30,apple-prepared.png,Apple (prepared),Apple (prepared),,Fruit,Natural,Sweet,"A photorealistic studio photograph of Apple (prepared), single subject, no packaging, no brand labels or text. Placed on a simple plain white round plate on a plain matte light grey background, even, soft studio lighting.  Render the image on a square 1024x1024 pixel canvas (1:1 aspect ratio). Do not change the aspect ratio or return a rectangular image. Center the plate within the square frame with equal margins on all sides; ensure the entire plate (and bowl, if present) is fully visible with no cropping. Maintain a FIXED three-quarter camera geometry corresponding to approximately a 40–45° downward tilt from vertical (classic food photography angle). The round plate must appear as an ellipse with a consistent major-to-minor axis ratio across all images. Do NOT vary camera tilt, camera height, focal length, or perspective to better show the food. The camera is positioned above and slightly in front of the plate, angled down toward the centre (not top-down, not side-on). Show a typical single-serving portion size of Apple (prepared) as commonly served to one adult (not a tiny sample and not an oversized platter). Keep the portion neatly arranged and fully visible on the plate with some rim still visible (do not cover the entire plate). The Apple (prepared) is shown in a typical ready-to-eat, edible form appropriate to the requested preparation. The food must be physically grounded on the plate with natural contact shadows and occlusion at the base; avoid white halos, cutout edges, pasted-on appearance, or floating pieces. Ensure consistent lighting direction and shadow softness between the food and the plate. Use realistic surface micro-texture (e.g., pores, fibers, grain separation) and avoid waxy or plastic-looking surfaces. Ensure physically plausible scale and proportions (e.g., slices must match the size of the whole item). High detail, natural colors, minimal shadows, sharp focus, stock-photo style. No logos, no brand names, no watermarks, no text, no human hands, no patterned plates, no cutting boards, no trays, no complex props, no busy backgrounds, no steam to indicate temperature, no multiple items, no multiple servings, no family-style platters, no collages, no extreme side views, no fisheye or distorted perspective, no camera angle changes, no perspective drift, no adaptive framing no bowls.",gemini-3-pro-image-preview,,1769125061,v1_uniform_grey_45deg,,Cooked apple slices sprinkled with a brown spice are served on a white plate.,Cooked apple slices with cinnamon,prepared,match,1.0,True,True,[],"[""Observed food matches expected food."", ""Preparation form 'prepared' is consistent with visual evidence.""]",30.0,90.0,70.0,0.0,25.0,5.0,0.0,5.0,0.0,gemini-2.5-pro,1770874909,50.31818181818182,62.18181818181818,64.5,67.4375,5.625,8.625,2.0,8.9375,6.25,9.75,cooked apple slices with cinnamon,75.0,30.0,85.0,70.0,0.0,30.0,5.0,5.0,5.0,0.0,gemini-2.5-pro,0.7093939185142517,0.1604779660701751,73.51280975341797,15.274171829223633,1.9775376319885256,6.226585865020752,5.676481246948242,13.312795639038086,0.0949179455637931,0.0167012773454189,-35.395653,-21.159655,17.981798,3.4596546,31.902832,-11.38904,4.970626,13.237648,-1.7636021,-18.652216
,Apple (raw),Fruits,Fruit,Natural,5,apple-raw.png,Apple (raw),Apple (raw),,Fruit,Natural,Sweet,"A photorealistic studio photograph of Apple (raw), single subject, no packaging, no brand labels or text. Placed on a simple plain white round plate on a plain matte light grey background, even, soft studio lighting.  Render the image on a square 1024x1024 pixel canvas (1:1 aspect ratio). Do not change the aspect ratio or return a rectangular image. Center the plate within the square frame with equal margins on all sides; ensure the entire plate (and bowl, if present) is fully visible with no cropping. Maintain a FIXED three-quarter camera geometry corresponding to approximately a 40–45° downward tilt from vertical (classic food photography angle). The round plate must appear as an ellipse with a consistent major-to-minor axis ratio across all images. Do NOT vary camera tilt, camera height, focal length, or perspective to better show the food. The camera is positioned above and slightly in front of the plate, angled down toward the centre (not top-down, not side-on). Show a typical single-serving portion size of Apple (raw) as commonly served to one adult (not a tiny sample and not an oversized platter). Keep the portion neatly arranged and fully visible on the plate with some rim still visible (do not cover the entire plate). The Apple (raw) is shown in a typical ready-to-eat, edible form appropriate to the requested preparation. The food must be physically grounded on the plate with natural contact shadows and occlusion at the base; avoid white halos, cutout edges, pasted-on appearance, or floating pieces. Ensure consistent lighting direction and shadow softness between the food and the plate. Use realistic surface micro-texture (e.g., pores, fibers, grain separation) and avoid waxy or plastic-looking surfaces. Ensure physically plausible scale and proportions (e.g., slices must match the size of the whole item). High detail, natural colors, minimal shadows, sharp focus, stock-photo style. No logos, no brand names, no watermarks, no text, no human hands, no patterned plates, no cutting boards, no trays, no complex props, no busy backgrounds, no steam to indicate temperature, no multiple items, no multiple servings, no family-style platters, no collages, no extreme side views, no fisheye or distorted perspective, no camera angle changes, no perspective drift, no adaptive framing no bowls.",gemini-3-pro-image-preview,,1769125078,v1_uniform_grey_45deg,,A single whole red apple is centered on a white plate against a grey background.,whole apple,raw,match,1.0,True,True,[],[],15.0,95.0,70.0,0.0,30.0,5.0,0.0,0.0,0.0,gemini-2.5-pro,1770874920,23.275862068965516,93.96551724137932,76.44827586206897,72.03448275862068,6.793103448275862,20.79310344827586,8.758620689655173,9.20689655172414,7.448275862068965,5.896551724137931,whole red apple,95.0,15.0,95.0,70.0,0.0,30.0,5.0,0.0,0.0,0.0,gemini-2.5-pro,0.7440161108970642,0.1473620533943176,76.78915405273438,13.787543296813965,2.040835380554199,7.971954822540283,2.9060847759246826,8.0873441696167,0.0555963590741157,0.0100860996171832,-22.746233,-22.93271,19.86471,-8.013574,34.426754,-4.3916693,-5.335588,-0.45517957,1.5307617,6.3799443
,Apple pear (nashi),Fruits,Fruit,Natural,5,apple-pear-nashi.png,Apple pear (nashi),Apple pear (nashi),,Fruit,Natural,Sweet,"A photorealistic studio photograph of Apple pear (nashi), single subject, no packaging, no brand labels or text. Placed on a simple plain white round plate on a plain matte light grey background, even, soft studio lighting.  Render the image on a square 1024x1024 pixel canvas (1:1 aspect ratio). Do not change the aspect ratio or return a rectangular image. Center the plate within the square frame with equal margins on all sides; ensure the entire plate (and bowl, if present) is fully visible with no cropping. Maintain a FIXED three-quarter camera geometry corresponding to approximately a 40–45° downward tilt from vertical (classic food photography angle). The round plate must appear as an ellipse with a consistent major-to-minor axis ratio across all images. Do NOT vary camera tilt, camera height, focal length, or perspective to better show the food. The camera is positioned above and slightly in front of the plate, angled down toward the centre (not top-down, not side-on). Show a typical single-serving portion size of Apple pear (nashi) as commonly served to one adult (not a tiny sample and not an oversized platter). Keep the portion neatly arranged and fully visible on the plate with some rim still visible (do not cover the entire plate). The Apple pear (nashi) is shown in a typical ready-to-eat, edible form appropriate to the requested preparation. The food must be physically grounded on the plate with natural contact shadows and occlusion at the base; avoid white halos, cutout edges, pasted-on appearance, or floating pieces. Ensure consistent lighting direction and shadow softness between the food and the plate. Use realistic surface micro-texture (e.g., pores, fibers, grain separation) and avoid waxy or plastic-looking surfaces. Ensure physically plausible scale and proportions (e.g., slices must match the size of the whole item). High detail, natural colors, minimal shadows, sharp focus, stock-photo style. No logos, no brand names, no watermarks, no text, no human hands, no patterned plates, no cutting boards, no trays, no complex props, no busy backgrounds, no steam to indicate temperature, no multiple items, no multiple servings, no family-style platters, no collages, no extreme side views, no fisheye or distorted perspective, no camera angle changes, no perspective drift, no adaptive framing no bowls.",gemini-3-pro-image-preview,,1769125093,v1_uniform_grey_45deg,,"Several slices of a peeled, pale fruit are arranged on a white plate.",peeled apple pear (nashi) slices,raw,match,1.0,True,True,[],[],15.0,95.0,70.0,0.0,10.0,0.0,0.0,0.0,0.0,gemini-2.5-pro,1770874934,29.833333333333332,85.79166666666667,75.33333333333333,67.6086956521739,5.521739130434782,20.565217391304348,6.043478260869565,8.478260869565217,5.869565217391305,4.173913043478261,peeled pear slices,55.0,25.0,95.0,70.0,0.0,15.0,5.0,0.0,0.0,0.0,gemini-2.5-pro,0.7640393376350403,0.1374866962432861,78.5213851928711,13.155648231506348,-0.4493834674358368,1.4650206565856934,3.3960275650024414,7.0425705909729,0.0627104043960571,0.0111829508095979,109.98676,102.30017,21.742853,72.79178,1.9310279,-7.552179,-12.483981,38.561214,43.53391,-42.23531
,Apple pie,Confectionery and sweets,Dessert,Transformed,88,apple-pie.png,Apple pie,Apple pie,,Dessert,Transformed,Sweet,"A photorealistic studio photograph of Apple pie, single subject, no packaging, no brand labels or text. Placed on a simple plain white round plate on a plain matte light grey background, even, soft studio lighting.  Render the image on a square 1024x1024 pixel canvas (1:1 aspect ratio). Do not change the aspect ratio or return a rectangular image. Center the plate within the square frame with equal margins on all sides; ensure the entire plate (and bowl, if present) is fully visible with no cropping. Maintain a FIXED three-quarter camera geometry corresponding to approximately a 40–45° downward tilt from vertical (classic food photography angle). The round plate must appear as an ellipse with a consistent major-to-minor axis ratio across all images. Do NOT vary camera tilt, camera height, focal length, or perspective to better show the food. The camera is positioned above and slightly in front of the plate, angled down toward the centre (not top-down, not side-on). Show a typical single-serving portion size of Apple pie as commonly served to one adult (not a tiny sample and not an oversized platter). Keep the portion neatly arranged and fully visible on the plate with some rim still visible (do not cover the entire plate). The Apple pie is shown in a typical ready-to-eat, edible form appropriate to the requested preparation. The food must be physically grounded on the plate with natural contact shadows and occlusion at the base; avoid white halos, cutout edges, pasted-on appearance, or floating pieces. Ensure consistent lighting direction and shadow softness between the food and the plate. Use realistic surface micro-texture (e.g., pores, fibers, grain separation) and avoid waxy or plastic-looking surfaces. Ensure physically plausible scale and proportions (e.g., slices must match the size of the whole item). High detail, natural colors, minimal shadows, sharp focus, stock-photo style. No logos, no brand names, no watermarks, no text, no human hands, no patterned plates, no cutting boards, no trays, no complex props, no busy backgrounds, no steam to indicate temperature, no multiple items, no multiple servings, no family-style platters, no collages, no extreme side views, no fisheye or distorted perspective, no camera angle changes, no perspective drift, no adaptive framing no bowls.",gemini-3-pro-image-preview,,1769125112,v1_uniform_grey_45deg,,A single slice of apple pie with a flaky golden crust sits on a white plate.,slice of apple pie,prepared,match,1.0,True,True,[],[],75.0,20.0,85.0,15.0,30.0,5.0,15.0,65.0,0.0,gemini-2.5-pro,1770874946,80.5625,31.8125,66.25,81.21428571428571,18.0,21.785714285714285,7.214285714285714,19.428571428571427,27.571428571428573,6.642857142857143,slice of apple pie,95.0,75.0,20.0,85.0,10.0,30.0,5.0,15.0,70.0,0.0,gemini-2.5-pro,0.7673473954200745,0.1307598948478698,78.93624877929688,12.41850471496582,0.8447121977806091,4.068676471710205,4.418038845062256,11.582301139831545,0.0636060982942581,0.0145422155037522,-14.363877,-30.31745,16.563768,8.308489,0.5820138,0.070715815,-14.70932,10.299999,5.9463925,26.8213
,Apricot (prepared),Fruits,Fruit,Natural,20,apricot-prepared.png,Apricot (prepared),Apricot (prepared),,Fruit,Natural,Sweet,"A photorealistic studio photograph of Apricot (prepared), single subject, no packaging, no brand labels or text. Placed on a simple plain white round plate on a plain matte light grey background, even, soft studio lighting.  Render the image on a square 1024x1024 pixel canvas (1:1 aspect ratio). Do not change the aspect ratio or return a rectangular image. Center the plate within the square frame with equal margins on all sides; ensure the entire plate (and bowl, if present) is fully visible with no cropping. Maintain a FIXED three-quarter camera geometry corresponding to approximately a 40–45° downward tilt from vertical (classic food photography angle). The round plate must appear as an ellipse with a consistent major-to-minor axis ratio across all images. Do NOT vary camera tilt, camera height, focal length, or perspective to better show the food. The camera is positioned above and slightly in front of the plate, angled down toward the centre (not top-down, not side-on). Show a typical single-serving portion size of Apricot (prepared) as commonly served to one adult (not a tiny sample and not an oversized platter). Keep the portion neatly arranged and fully visible on the plate with some rim still visible (do not cover the entire plate). The Apricot (prepared) is shown in a typical ready-to-eat, edible form appropriate to the requested preparation. The food must be physically grounded on the plate with natural contact shadows and occlusion at the base; avoid white halos, cutout edges, pasted-on appearance, or floating pieces. Ensure consistent lighting direction and shadow softness between the food and the plate. Use realistic surface micro-texture (e.g., pores, fibers, grain separation) and avoid waxy or plastic-looking surfaces. Ensure physically plausible scale and proportions (e.g., slices must match the size of the whole item). High detail, natural colors, minimal shadows, sharp focus, stock-photo style. No logos, no brand names, no watermarks, no text, no human hands, no patterned plates, no cutting boards, no trays, no complex props, no busy backgrounds, no steam to indicate temperature, no multiple items, no multiple servings, no family-style platters, no collages, no extreme side views, no fisheye or distorted perspective, no camera angle changes, no perspective drift, no adaptive framing no bowls.",gemini-3-pro-image-preview,,1769125132,v1_uniform_grey_45deg,,Cooked apricot halves with blanched almonds are served in a light syrup on a white plate.,Cooked apricot halves with almonds,prepared,match,1.0,True,True,"[""sauce_present"", ""multiple_items""]","[""Food is prepared apricots, matching the label."", ""Almonds are also present."", ""Food is served in a light syrup.""]",45.0,65.0,75.0,0.0,20.0,5.0,0.0,15.0,0.0,gemini-2.5-pro,1770874963,46.4,62.2,48.4,76.16666666666667,2.5,26.0,3.8333333333333335,13.166666666666666,3.3333333333333335,0.0,Poached apricot halves with almonds,75.0,65.0,40.0,85.0,0.0,25.0,5.0,5.0,20.0,0.0,gemini-2.5-pro,0.7250308990478516,0.1891477257013321,75.3268814086914,17.356626510620117,5.085039138793945,11.816540718078612,10.457891464233398,20.48002052307129,0.1651360839605331,0.0209083929657936,78.39784,33.267612,3.1315234,11.110759,-12.817436,-16.980133,14.799565,-19.084436,-6.203949,11.165535
,Apricot (raw),Fruits,Fruit,Natural,0,apricot-raw.png,Apricot (raw),Apricot (raw),,Fruit,Natural,Sweet,"A photorealistic studio photograph of Apricot (raw), single subject, no packaging, no brand labels or text. Placed on a simple plain white round plate on a plain matte light grey background, even, soft studio lighting.  Render the image on a square 1024x1024 pixel canvas (1:1 aspect ratio). Do not change the aspect ratio or return a rectangular image. Center the plate within the square frame with equal margins on all sides; ensure the entire plate (and bowl, if present) is fully visible with no cropping. Maintain a FIXED three-quarter camera geometry corresponding to approximately a 40–45° downward tilt from vertical (classic food photography angle). The round plate must appear as an ellipse with a consistent major-to-minor axis ratio across all images. Do NOT vary camera tilt, camera height, focal length, or perspective to better show the food. The camera is positioned above and slightly in front of the plate, angled down toward the centre (not top-down, not side-on). Show a typical single-serving portion size of Apricot (raw) as commonly served to one adult (not a tiny sample and not an oversized platter). Keep the portion neatly arranged and fully visible on the plate with some rim still visible (do not cover the entire plate). The Apricot (raw) is shown in a typical ready-to-eat, edible form appropriate to the requested preparation. The food must be physically grounded on the plate with natural contact shadows and occlusion at the base; avoid white halos, cutout edges, pasted-on appearance, or floating pieces. Ensure consistent lighting direction and shadow softness between the food and the plate. Use realistic surface micro-texture (e.g., pores, fibers, grain separation) and avoid waxy or plastic-looking surfaces. Ensure physically plausible scale and proportions (e.g., slices must match the size of the whole item). High detail, natural colors, minimal shadows, sharp focus, stock-photo style. No logos, no brand names, no watermarks, no text, no human hands, no patterned plates, no cutting boards, no trays, no complex props, no busy backgrounds, no steam to indicate temperature, no multiple items, no multiple servings, no family-style platters, no collages, no extreme side views, no fisheye or distorted perspective, no camera angle changes, no perspective drift, no adaptive framing no bowls.",gemini-3-pro-image-preview,,1769125149,v1_uniform_grey_45deg,,Four whole raw apricots are presented on a white plate against a grey background.,whole apricots,raw,match,1.0,True,True,[],[],20.0,95.0,65.0,0.0,35.0,5.0,0.0,0.0,0.0,gemini-2.5-pro,1770874976,28.28,83.64,61.2,64.6,1.6,24.5,6.9,8.55,1.85,0.6,whole apricots,95.0,15.0,95.0,65.0,0.0,35.0,5.0,0.0,0.0,0.0,gemini-2.5-pro,0.7212738394737244,0.1402650624513626,74.90327453613281,13.021522521972656,3.513224840164185,8.68913745880127,8.372828483581543,18.134973526000977,0.1248253732919693,0.012137234210968,-20.858068,-37.748226,57.16666,9.684334,-3.1425002,-3.3846347,-2.8802009,-1.1194024,1.6331122,23.783943
,Artichoke,Vegetables,Vegetable,Natural,5,artichoke.png,Artichoke,Artichoke,,Vegetable,Natural,Savory,"A photorealistic studio photograph of Artichoke, single subject, no packaging, no brand labels or text. Placed on a simple plain white round plate on a plain matte light grey background, even, soft studio lighting.  Render the image on a square 1024x1024 pixel canvas (1:1 aspect ratio). Do not change the aspect ratio or return a rectangular image. Center the plate within the square frame with equal margins on all sides; ensure the entire plate (and bowl, if present) is fully visible with no cropping. Maintain a FIXED three-quarter camera geometry corresponding to approximately a 40–45° downward tilt from vertical (classic food photography angle). The round plate must appear as an ellipse with a consistent major-to-minor axis ratio across all images. Do NOT vary camera tilt, camera height, focal length, or perspective to better show the food. The camera is positioned above and slightly in front of the plate, angled down toward the centre (not top-down, not side-on). Show a typical single-serving portion size of Artichoke as commonly served to one adult (not a tiny sample and not an oversized platter). Keep the portion neatly arranged and fully visible on the plate with some rim still visible (do not cover the entire plate). The Artichoke is shown in a typical ready-to-eat, edible form appropriate to the requested preparation. The food must be physically grounded on the plate with natural contact shadows and occlusion at the base; avoid white halos, cutout edges, pasted-on appearance, or floating pieces. Ensure consistent lighting direction and shadow softness between the food and the plate. Use realistic surface micro-texture (e.g., pores, fibers, grain separation) and avoid waxy or plastic-looking surfaces. Ensure physically plausible scale and proportions (e.g., slices must match the size of the whole item). High detail, natural colors, minimal shadows, sharp focus, stock-photo style. No logos, no brand names, no watermarks, no text, no human hands, no patterned plates, no cutting boards, no trays, no complex props, no busy backgrounds, no steam to indicate temperature, no multiple items, no multiple servings, no family-style platters, no collages, no extreme side views, no fisheye or distorted perspective, no camera angle changes, no perspective drift, no adaptive framing no bowls.",gemini-3-pro-image-preview,,1769125164,v1_uniform_grey_45deg,,"A single cooked artichoke, cut in half, is centered on a white plate.",Cooked artichoke,prepared,match,1.0,True,True,[],"[""Food item correctly identified as artichoke.""]",10.0,95.0,20.0,5.0,5.0,30.0,40.0,5.0,0.0,gemini-2.5-pro,1770874992,32.76190476190476,82.23809523809524,45.57142857142857,14.363636363636363,13.363636363636363,7.363636363636363,14.545454545454543,29.09090909090909,11.818181818181818,3.4545454545454546,cooked artichoke half,85.0,10.0,95.0,15.0,5.0,5.0,30.0,25.0,5.0,0.0,gemini-2.5-pro,0.7481520175933838,0.1830574870109558,76.84199523925781,17.84526824951172,-0.1101878359913826,1.4853429794311523,3.9022042751312256,9.076305389404297,0.0772013738751411,0.022711394354701,50.49026,-9.392207,0.6421533,-28.370073,26.45502,8.834935,-13.326651,13.035562,-36.73646,9.851776
